"_id","objectid","project_name","address","status","description","image","project_url","project_type","image_alt_text","takedown_date","ward_name","ward_number","globalid","geometry"
22,24,"One Yonge Street Community Centre","1 Yonge St","In progress","The City is designing a new community recreation centre to be located within the base of a mixed-use high-rise development. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2019/04/904e-one-yonge-community-centre-banner-1024x337.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/one-yonge-street-community-centre/","New Community Recreation Centre","A rendering of the new community centre at One Yonge Street","None","Spadina-Fort York","10","8db6c38c-48d7-4c3c-9966-f34879a37559",c(-79.3739618599357, 43.6427611702998)
23,25,"Osler Park Playground Improvements ","123 Argyle Street ","In progress","The City is improving Osler Plark Playground. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2020/01/8551-osler-park-playground-improvements-banner.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/osler-playground-park-improvements/","Playground Improvements","Playground equipment, including monkey bars and slide, at Osler Playground Park.","None","Spadina-Fort York","10","e2329e19-04e5-484c-8a7b-07eae23d57e0",c(-79.4220942096562, 43.6463001001473)
24,26,"St. Andrew's Playground Improvements","450 Adelaide St W","In progress","The City is improving St. Andrew's Playground. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2019/11/98f7-st-andrews-playground-improvements-banner.png","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/st-andrews-playground-improvements/","Park or Facility Improvements","A project rendering featuring people swinging on swings, children with their parents, and those relaxing in the park.","None","Spadina-Fort York","10","8448ac67-86c4-4ce0-a97e-e7c51a0c4b93",c(-79.3988638203893, 43.6463184696599)
25,27,"High Park Movement Strategy","None","In progress","The High Park Movement Strategy will rethink the travel network serving High Park in the context of the city's growing population, changing travel patterns, and the impacts of COVID-19.","https://www.toronto.ca/wp-content/uploads/2022/02/8bd1-high-park-movement-strategy-banner.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/parks-facility-plans-strategies/high-park-movement-strategy/","Master Plan or Study","Photo of pedestrians walking along Grenadier Pond in the spring in High Park.","None","Parkdale-High Park","04","c3b36790-fbbe-49b9-bc72-17b1102116fc",c(-79.4629493696876, 43.6465746898129)
26,28,"Mary McCormick Community Centre","66 Sheridan Ave","In progress","The City is enhancing Mary McCormick Recreation Centre by undertaking state-of-good-repair rehabilitation work to the facility.","https://www.toronto.ca/data/parks/img/100/1.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/mary-mccormick-community-centre/","Park or Facility Improvements","Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.","None","Davenport","09","a627b383-3088-48cc-9711-1559d94e6bf7",c(-79.4334468300137, 43.6473526495994)
27,29,"Charles G. Williams Park Improvements and Expansion","75 Wabash Avenue ","In progress","The City is improving Charles G. Williams Park. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2020/08/8f25-charles-g-williams-park-improvements-banner.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/charles-g-williams-park-improvements-expansion/","Park or Facility Improvements","People playing on the playground equipment at Charles G. Williams Park","None","Parkdale-High Park","04","ea93268f-fb51-43e7-b399-4eb5c6b7df91",c(-79.4432944502935, 43.6476145901123)
28,30,"David Crombie Park Revitalization Design","131 The Esplanade","Complete","The City is improving David Crombie Park. Learn more about the project and how you can get involved.","https://www.toronto.ca/data/parks/img/pdcp/00_park.png","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/david-crombie-park-revitalization-design/","Master Plan or Study","Illustration of a diverse group of people enjoying a park with the Toronto skyline in the background.","None","Spadina-Fort York","10","5c264170-c2c4-47c3-890a-e2bfc20470c1",c(-79.370272979435, 43.6481817802904)
29,31,"Wabash Community Recreation Centre ","40 Wabash Avenue ","In progress","The City is building a new community recreation centre in Sorauren Park. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2018/07/8f9e-wabash-community-centre-project-banner.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/wabash-community-centre/","New Community Recreation Centre","An aerial view the the site where the new community centre will be built. It is next to Sorauren Avenue Park.","None","Parkdale-High Park","04","0d7e2620-6edf-4f63-a403-7bbecf4603c5",c(-79.4422981899778, 43.6483450700694)
30,32,"Market Lane Park Improvements ","149 King Street East ","In progress","The City is improving Market Lane Park. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2021/05/971e-market-lane-park-improvements-banner.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/improvements-expansion-redevelopment/market-lane-park-improvements/","Park or Facility Improvements","The entrance to Market Lane Park which shows a vertical park sign, bike rental rack and a row of trees along a concrete and brick pathway.","None","Toronto Centre","13","cd093a84-6d72-47aa-887d-ad574d66cfdb",c(-79.3725569297779, 43.6500807296176)
31,33,"New Park at 150 Harrison Street","150 Harrison Street","In progress","A new park is coming to 150 Harrison Street. Learn more about the project and how you can get involved.","https://www.toronto.ca/wp-content/uploads/2020/10/90b3-new-park-150-harrison-banner.jpg","https://www.toronto.ca/city-government/planning-development/construction-new-facilities/new-parks-facilities/new-park-at-150-harrison-street/","New Park","Existing site for the park and housing development at 150 Harrison Street.","None","Davenport","09","a09997a2-584a-4927-a8d8-d21c485b0a88",c(-79.4248006800257, 43.6504900103229)
